Game Number,AI Total Victories,Bot Total Victories,Win Rate,Bot Won,Moves
1,1,0,100.0,0,77
2,1,1,50.0,100,41
3,2,1,66.67,0,131
4,2,2,50.0,100,10
5,2,3,40.0,100,33
6,2,4,33.33,100,183
7,2,5,28.57,100,94
8,3,5,37.5,0,74
9,3,6,33.33,100,54
10,3,7,30.0,100,43
11,4,7,36.36,0,79
12,4,8,33.33,100,24
13,5,8,38.46,0,21
14,6,8,42.86,0,67
15,6,9,40.0,100,45
16,7,9,43.75,0,21
17,7,10,41.18,100,49
18,8,10,44.44,0,108
19,8,11,42.11,100,78
20,9,11,45.0,0,27
21,9,12,42.86,100,63
22,10,12,45.45,0,67
23,10,13,43.48,100,20
24,11,13,45.83,0,19
25,12,13,48.0,0,15
26,12,14,46.15,100,99
27,13,14,48.15,0,35
28,13,15,46.43,100,54
29,14,15,48.28,0,15
30,15,15,50.0,0,10
31,16,15,51.61,0,60
32,17,15,53.12,0,37
33,18,15,54.55,0,10
34,18,16,52.94,100,53
35,18,17,51.43,100,42
36,19,17,52.78,0,13
37,19,18,51.35,100,93
38,20,18,52.63,0,46
39,21,18,53.85,0,47
40,22,18,55.0,0,11
41,23,18,56.1,0,68
42,24,18,57.14,0,28
43,25,18,58.14,0,12
44,26,18,59.09,0,12
45,27,18,60.0,0,28
46,27,19,58.7,100,67
47,28,19,59.57,0,37
48,29,19,60.42,0,39
49,29,20,59.18,100,42
50,30,20,60.0,0,11
51,31,20,60.78,0,30
52,31,21,59.62,100,49
53,31,22,58.49,100,97
54,32,22,59.26,0,49
55,33,22,60.0,0,12
56,34,22,60.71,0,13
57,35,22,61.4,0,72
58,36,22,62.07,0,19
59,37,22,62.71,0,12
60,38,22,63.33,0,30
61,39,22,63.93,0,10
62,39,23,62.9,100,16
63,40,23,63.49,0,13
64,40,24,62.5,100,74
65,40,25,61.54,100,46
66,41,25,62.12,0,78
67,42,25,62.69,0,82
68,43,25,63.24,0,94
69,44,25,63.77,0,12
70,45,25,64.29,0,17
71,46,25,64.79,0,15
72,47,25,65.28,0,32
73,48,25,65.75,0,11
74,49,25,66.22,0,17
75,50,25,66.67,0,47
76,51,25,67.11,0,19
77,52,25,67.53,0,20
