Piece,Current State,Current Action,Value
-1,"(4, 0)","(3, 1)",6.4031021319309405
-1,"(4, 4)","(3, 3)",6.590571063254199
-1,"(3, 3)","(2, 4)",6.359251291240258
-1,"(3, 1)","(2, 2)",7.238921107274718
-1,"(2, 4)","(1, 3)",7.206171818375717
-1,"(5, 5)","(4, 4)",5.829526590534702
-1,"(4, 2)","(3, 3)",6.366079252858908
-1,"(5, 1)","(3, 3)",-22.58552825022324
-1,"(3, 3)","(2, 2)",6.60963212345951
-1,"(5, 3)","(4, 2)",5.819922383157632
-1,"(2, 2)","(1, 3)",7.368998957040998
-1,"(1, 3)","(0, 2)",6.8378883991229165
-2,"(0, 2)","(1, 1)",7.157619976275974
-1,"(5, 1)","(4, 0)",6.489079357610444
-1,"(5, 3)","(4, 4)",6.526227517630858
-1,"(4, 0)","(2, 2)",-20.707486869356256
-1,"(5, 5)","(3, 3)",-19.74552238841416
-1,"(2, 2)","(1, 1)",6.405862044179198
-1,"(4, 4)","(3, 5)",5.705231336026798
-1,"(4, 2)","(3, 1)",6.482574221177307
-1,"(3, 1)","(2, 0)",6.58483595249547
-1,"(3, 5)","(2, 4)",7.038449882431701
-1,"(5, 1)","(4, 2)",5.893013619219338
-1,"(2, 0)","(0, 2)",-22.23580761495072
-1,"(2, 2)","(0, 4)",-17.381920383356
-2,"(0, 4)","(1, 5)",7.291043544831393
-2,"(1, 5)","(0, 4)",6.341277033398895
-2,"(0, 4)","(1, 3)",7.458923449813924
-2,"(1, 3)","(0, 2)",6.243377911128379
-2,"(0, 2)","(1, 3)",6.138760172264644
-2,"(1, 3)","(2, 4)",6.186606021947944
-2,"(2, 4)","(1, 3)",6.345166053646886
-2,"(1, 3)","(0, 4)",6.97809191503033
-2,"(1, 3)","(2, 2)",7.732581978386581
-2,"(2, 2)","(4, 4)",-14.9490703855
-1,"(2, 0)","(1, 1)",6.68051908620311
-1,"(3, 3)","(1, 5)",-23.52398079123954
-1,"(3, 5)","(1, 3)",-22.22382888558004
-1,"(1, 5)","(0, 4)",6.841925549195016
-1,"(5, 3)","(3, 1)",-22.67662802663874
-1,"(3, 1)","(1, 3)",-19.777499171679143
-2,"(1, 1)","(0, 0)",6.701690025609064
-1,"(1, 3)","(0, 4)",5.690733389148114
-2,"(0, 0)","(1, 1)",6.496110927004921
-2,"(1, 1)","(2, 2)",6.600566228210285
-2,"(2, 2)","(1, 3)",6.276762378042728
-2,"(1, 5)","(2, 4)",7.044654073379193
-2,"(1, 1)","(0, 2)",7.406773534369941
-2,"(2, 4)","(1, 5)",5.908959428071095
-2,"(2, 2)","(3, 1)",6.170460296922776
-2,"(3, 1)","(2, 2)",5.406121074342316
-2,"(3, 1)","(4, 0)",5.126989137696333
-2,"(4, 0)","(5, 1)",4.649442407322251
-2,"(5, 1)","(4, 0)",4.4735346390354165
-2,"(4, 0)","(3, 1)",4.572274333953974
-2,"(2, 2)","(3, 3)",5.9407527016303
-2,"(3, 3)","(4, 2)",5.351854873476452
-2,"(4, 2)","(5, 3)",4.657577020806804
-2,"(5, 3)","(3, 5)",-13.88293254
-2,"(3, 5)","(4, 4)",4.84556919278705
-2,"(2, 4)","(3, 5)",5.7036369570344885
-2,"(3, 5)","(2, 4)",4.987458321606567
-2,"(2, 4)","(3, 3)",5.922777610209051
-2,"(3, 3)","(2, 4)",5.44134164513532
-2,"(3, 5)","(5, 3)",-18.885103289992696
-2,"(2, 2)","(1, 1)",6.25716869131892
-1,"(1, 1)","(0, 2)",5.618403673286271
-1,"(2, 4)","(1, 5)",6.188519969150802
-2,"(1, 3)","(3, 1)",-15.88154652411
-2,"(3, 1)","(2, 0)",5.666358864119328
-2,"(2, 0)","(1, 1)",5.751297831978003
-2,"(3, 3)","(2, 2)",4.962387003636862
-1,"(4, 2)","(2, 0)",-11.019218
-1,"(5, 3)","(3, 5)",-12.5569744
-1,"(4, 2)","(2, 4)",-17.5925950252675
-2,"(1, 1)","(2, 0)",6.05200538825121
-2,"(2, 0)","(3, 1)",5.724805037089997
-2,"(0, 4)","(2, 2)",-11.428754
-2,"(2, 4)","(4, 2)",-11.147445
-1,"(4, 4)","(2, 2)",-11.7248054
-2,"(3, 1)","(4, 2)",4.924325530404226
-2,"(4, 2)","(3, 1)",4.421639081307802
-2,"(4, 2)","(3, 3)",5.0056926648496765
-2,"(3, 3)","(5, 5)",-21.48926760797353
-2,"(5, 5)","(4, 4)",4.6583129774386265
-2,"(4, 4)","(3, 3)",3.848034328239164
-2,"(5, 3)","(4, 2)",4.436912759586556
-2,"(5, 3)","(4, 4)",2.33473698391
-1,"(3, 3)","(1, 1)",-19.477185061199062
-2,"(0, 2)","(2, 0)",-14.327560475
-2,"(4, 2)","(5, 1)",4.065776144055585
-2,"(5, 1)","(4, 2)",4.081717197066937
-2,"(3, 3)","(4, 4)",4.402932716162461
-2,"(1, 5)","(3, 3)",-10.935318
-2,"(3, 3)","(1, 1)",-14.902520705
-1,"(2, 4)","(0, 2)",-13.91225075
-2,"(3, 3)","(5, 1)",-6.271000000000001
-2,"(4, 4)","(3, 5)",3.2418340143901143
-2,"(4, 4)","(5, 3)",3.0931617567100003
-2,"(2, 0)","(4, 2)",-4.37
-2,"(4, 4)","(5, 5)",4.0558492124493
-2,"(5, 3)","(3, 1)",-10.70577
-2,"(0, 2)","(2, 4)",-6.171
-1,"(1, 1)","(0, 0)",2.34769
-2,"(2, 2)","(0, 0)",-2.9000000000000004
-2,"(1, 1)","(3, 3)",-7.693600000000001
-2,"(3, 3)","(1, 5)",-6.585000000000001
-1,"(2, 2)","(0, 0)",-12.1893415
-2,"(3, 1)","(5, 3)",-7.619
-2,"(5, 5)","(3, 3)",-4.83
-2,"(1, 3)","(3, 5)",-10.25217
-2,"(0, 0)","(2, 2)",-2.4000000000000004
-2,"(2, 0)","(0, 2)",-2.7
-2,"(4, 4)","(2, 2)",-2.8000000000000003
-2,"(2, 2)","(4, 0)",-14.18722521
-2,"(5, 1)","(3, 3)",-8.1907
-2,"(4, 0)","(2, 2)",-2.3000000000000003
-2,"(3, 1)","(1, 3)",-4.83
-2,"(4, 2)","(2, 0)",-4.19
