Piece,Current State,Current Action,Value
1,"(1, 1)","(2, 0)",7.9579135144502136
1,"(1, 3)","(3, 1)",38.15092055861291
1,"(2, 0)","(3, 1)",7.336895314040325
1,"(1, 5)","(2, 4)",7.847481507628388
1,"(0, 2)","(1, 1)",7.521588225254074
1,"(0, 0)","(1, 1)",7.378232856515243
1,"(0, 4)","(2, 2)",38.61700018863657
1,"(3, 1)","(4, 0)",6.97704372419128
1,"(2, 2)","(4, 4)",37.69612509332694
1,"(1, 1)","(2, 2)",7.587238259341408
1,"(4, 0)","(5, 1)",17.439691478918
2,"(5, 1)","(4, 2)",10.841442395467055
2,"(4, 2)","(3, 1)",11.589833057616906
2,"(3, 1)","(2, 2)",10.969441736994435
2,"(2, 2)","(3, 3)",10.954104641063966
2,"(3, 3)","(2, 2)",10.465423145662365
2,"(3, 1)","(4, 0)",10.835717970793063
2,"(4, 0)","(5, 1)",22.438027915071633
1,"(1, 3)","(2, 2)",7.351078472180822
1,"(0, 4)","(1, 3)",7.523102346143971
1,"(0, 2)","(1, 3)",7.625136906238836
1,"(4, 4)","(5, 5)",17.48223889645637
2,"(5, 5)","(4, 4)",10.27443706754005
1,"(3, 1)","(4, 2)",7.077136710082241
1,"(4, 2)","(5, 3)",17.22506763403982
2,"(4, 4)","(3, 5)",11.957531330678412
2,"(3, 5)","(2, 4)",11.008675325694194
2,"(5, 3)","(4, 4)",10.725413941848341
2,"(2, 4)","(3, 3)",11.272451831435411
2,"(3, 3)","(5, 5)",51.69903776284258
1,"(0, 0)","(2, 2)",38.55199197407867
1,"(2, 2)","(4, 0)",38.29963438319955
2,"(3, 5)","(4, 4)",11.893845811289099
1,"(2, 4)","(3, 5)",7.425532268489408
1,"(1, 3)","(2, 4)",7.5525451677099875
1,"(3, 1)","(5, 3)",47.79044232063485
1,"(2, 4)","(4, 2)",37.78559261112351
1,"(4, 2)","(5, 1)",17.354801239028355
2,"(3, 3)","(4, 4)",11.09772902688718
2,"(4, 4)","(5, 5)",20.42115807283698
1,"(0, 2)","(2, 4)",38.37020434752348
2,"(4, 4)","(3, 3)",10.942260646813056
1,"(1, 5)","(3, 3)",38.13596011597185
1,"(3, 3)","(4, 4)",7.4161947898274425
2,"(5, 3)","(4, 2)",10.855940239054865
2,"(3, 3)","(2, 4)",11.468473562624549
1,"(2, 4)","(3, 3)",7.6187634645060065
1,"(0, 2)","(2, 0)",38.19455458441905
2,"(4, 2)","(5, 1)",20.536544688594862
2,"(3, 1)","(4, 2)",10.767518280458606
1,"(0, 4)","(1, 5)",8.097700026862144
2,"(4, 2)","(5, 3)",20.79754346739462
2,"(5, 1)","(4, 0)",12.566529939607767
2,"(4, 0)","(3, 1)",10.89848122293703
2,"(3, 1)","(2, 0)",11.035590504385759
2,"(4, 2)","(2, 0)",41.402784263191435
2,"(2, 0)","(0, 2)",41.65670415786459
2,"(0, 2)","(1, 1)",7.933160090770851
2,"(1, 1)","(0, 2)",7.27593439304539
1,"(2, 2)","(3, 1)",7.62700243340742
2,"(5, 3)","(3, 1)",42.95727869193325
2,"(2, 2)","(0, 4)",41.56503808751284
2,"(0, 4)","(1, 3)",9.350301535094422
1,"(2, 0)","(4, 2)",37.99173106536753
1,"(3, 3)","(4, 2)",8.051797390700184
2,"(5, 3)","(3, 5)",42.52258660180476
2,"(2, 4)","(1, 3)",9.882956916493898
2,"(1, 3)","(0, 4)",7.961163531420006
2,"(0, 4)","(1, 5)",2.168
1,"(4, 4)","(5, 3)",17.290324010973876
1,"(3, 3)","(5, 1)",47.59138883210423
2,"(4, 2)","(3, 3)",11.996074932454652
1,"(2, 2)","(3, 3)",7.31877212337461
1,"(3, 3)","(5, 5)",47.462299261689274
1,"(3, 5)","(4, 4)",7.715289975376293
2,"(5, 1)","(3, 3)",42.51443651612212
1,"(1, 3)","(3, 5)",38.22800829281495
2,"(3, 3)","(4, 2)",11.185339972243632
2,"(5, 5)","(3, 3)",41.91717725106174
1,"(1, 1)","(3, 3)",37.87575741827213
2,"(2, 2)","(3, 1)",10.353156631138242
2,"(3, 5)","(1, 3)",42.331635961947285
2,"(4, 4)","(5, 3)",20.292875943953053
2,"(2, 2)","(1, 3)",9.4180722133035
2,"(1, 3)","(2, 4)",9.798086309340864
2,"(4, 4)","(2, 2)",41.69866040724628
2,"(2, 4)","(3, 5)",9.755137165546053
2,"(4, 0)","(2, 2)",41.955260950056505
2,"(4, 2)","(2, 4)",41.84420505950738
2,"(3, 3)","(1, 1)",42.351913886161675
2,"(1, 1)","(2, 2)",7.1267967918
1,"(3, 5)","(5, 3)",48.25263945186943
2,"(2, 2)","(0, 0)",40.485203788531
2,"(0, 0)","(1, 1)",7.638217414469917
2,"(0, 2)","(1, 3)",9.365136124449036
2,"(1, 5)","(0, 4)",8.2806177930768
2,"(3, 3)","(1, 5)",41.51297879491546
2,"(3, 3)","(5, 1)",51.90687379076375
-2,"(5, 5)","(4, 4)",0.2
-1,"(5, 3)","(3, 1)",3.6
2,"(2, 4)","(1, 5)",8.10174297066939
2,"(1, 5)","(2, 4)",9.74898631172273
2,"(3, 5)","(5, 3)",52.918105484327036
2,"(2, 2)","(4, 4)",41.82497427312967
-1,"(3, 3)","(1, 5)",3.1
2,"(3, 1)","(1, 3)",43.22910646208187
2,"(2, 4)","(0, 2)",41.91561159709451
2,"(1, 3)","(3, 1)",42.815552393628735
2,"(0, 4)","(2, 2)",19.339752
2,"(2, 0)","(3, 1)",10.810705539698189
2,"(2, 0)","(1, 1)",10.657380019055722
2,"(2, 2)","(1, 1)",5.267757
2,"(2, 2)","(4, 0)",42.22751057951274
2,"(1, 3)","(2, 2)",6.751508557999999
2,"(1, 1)","(2, 0)",10.369905314875302
-2,"(0, 2)","(1, 1)",0.4
